,close,high,low,open,time,volumefrom,volumeto,timestamp
1199,8825.1,8875.0,8760.1,8862.4,1518469200,258.62,2279183.57,2018-02-13 06:00:00
1200,8904.2,8904.4,8730.5,8825.1,1518472800,217.7,1918372.14,2018-02-13 07:00:00
1201,8906.3,8988.0,8844.8,8904.2,1518476400,620.65,5541556.88,2018-02-13 08:00:00
1202,8933.0,8933.7,8815.9,8906.3,1518480000,376.94,3347510.59,2018-02-13 09:00:00
1203,8741.6,8933.5,8715.6,8933.0,1518483600,405.21,3564760.52,2018-02-13 10:00:00
1204,8714.8,8769.0,8654.0,8741.6,1518487200,307.98,2679054.94,2018-02-13 11:00:00
1205,8755.5,8755.5,8665.1,8714.8,1518490800,214.09,1866864.55,2018-02-13 12:00:00
1206,8565.0,8777.0,8542.0,8755.5,1518494400,347.01,2993639.86,2018-02-13 13:00:00
1207,8618.2,8624.9,8543.3,8565.0,1518498000,264.53,2273531.71,2018-02-13 14:00:00
1208,8695.0,8724.2,8569.4,8618.2,1518501600,176.42,1524640.59,2018-02-13 15:00:00
1209,8650.0,8753.0,8650.0,8695.0,1518505200,153.2,1334123.97,2018-02-13 16:00:00
1210,8548.8,8656.4,8451.5,8650.0,1518508800,322.22,2744736.63,2018-02-13 17:00:00
1211,8453.1,8553.5,8401.1,8548.8,1518512400,240.2,2030280.88,2018-02-13 18:00:00
1212,8515.7,8532.7,8385.0,8453.1,1518516000,219.59,1857098.52,2018-02-13 19:00:00
1213,8520.0,8599.0,8450.4,8515.7,1518519600,654.92,5590083.15,2018-02-13 20:00:00
1214,8580.0,8597.9,8438.1,8520.0,1518523200,262.61,2244299.65,2018-02-13 21:00:00
1215,8609.7,8649.0,8558.0,8580.0,1518526800,277.82,2386044.23,2018-02-13 22:00:00
1216,8619.9,8650.0,8589.0,8609.7,1518530400,268.06,2313715.77,2018-02-13 23:00:00
1217,8500.0,8619.9,8450.0,8619.9,1518534000,400.77,3420650.97,2018-02-14 00:00:00
1218,8564.2,8582.9,8500.0,8500.0,1518537600,134.34,1148033.21,2018-02-14 01:00:00
1219,8630.9,8646.0,8564.2,8564.2,1518541200,173.06,1489622.82,2018-02-14 02:00:00
1220,8601.1,8670.0,8601.1,8630.9,1518544800,236.77,2046613.89,2018-02-14 03:00:00
1221,8629.9,8632.0,8550.4,8601.1,1518548400,144.64,1242188.29,2018-02-14 04:00:00
1222,8706.8,8743.0,8615.1,8629.9,1518552000,226.43,1969028.99,2018-02-14 05:00:00
1223,8561.5,8720.0,8551.0,8706.8,1518555600,195.74,1690524.59,2018-02-14 06:00:00
1224,8561.0,8582.2,8490.0,8561.5,1518559200,229.15,1957531.4,2018-02-14 07:00:00
